No,Go,gene number,percent 1,percent2 (exclude unclassified)
1,binding (GO:0005488),14,40.00%,41.20%
2,structural molecule activity (GO:0005198),3,8.60%,8.80%
3,catalytic activity (GO:0003824),14,40.00%,41.20%
4,antioxidant activity (GO:0016209),1,2.90%,2.90%
5,transporter activity (GO:0005215),2,5.70%,5.90%
6,unclassified,6,2.80%,0%
